==================================================================
Mass (g),Position (cm),Avg Strain A1,Avg Strain B1,Avg Strain A2,Avg Strain B2
0.0,7.0,0.28029403686523435,0.004482269287109375,0.09951705932617187,0.01494903564453125
0.0,10.0,0.2803529614079608,0.004361563355383211,0.09988603800752738,0.014866738423813869
0.0,15.0,0.28033982661732454,0.004407380756578948,0.10029682360197369,0.015152780633223685
200.0,7.0,0.27545644963531185,0.004416145309356137,0.10085046411280181,0.01496405188946177
200.0,10.0,0.2725406344845998,0.004375649870728417,0.0982589172802383,0.01485261985723921
200.0,15.0,0.2678736036068925,0.004489221305490654,0.09401695750584112,0.015005521685163552
500.0,7.0,0.2666373996559633,0.004211985736811926,0.09843570814220183,0.01525542932912844
500.0,10.0,0.25960129232273954,0.004292271420981453,0.09178857346406491,0.015030496824285162
500.0,15.0,0.2477873658104766,0.004329544177158274,0.07997691202506745,0.015078757306654676
1500.0,7.0,0.23830407275139365,0.004336322764794168,0.0890464193825043,0.015089188799849914
1500.0,10.0,0.21721418513808138,0.004227985707364341,0.06821932533914729,0.015057231104651164
1500.0,15.0,0.18280077055213223,0.004267685103677621,0.03473750489045383,0.01519383772251565
