==================================================================
Mass (g),Position (cm),Avg Strain A1,Avg Strain B1,Avg Strain A2,Avg Strain B2
0.0,6.0,-0.02598044136974299,0.004474390332943925,-0.4752630786360981,0.015521183192172897
0.0,10.0,-0.026153639434889436,0.004540895654176904,-0.47530790511747545,0.015534721955620393
0.0,15.0,-0.026029076906714108,0.0045247597269492575,-0.4753792640006188,0.015606266437190593
200.0,6.0,-0.03080360061453975,0.004497192893566946,-0.47532213282884417,0.015422230485094142
200.0,10.0,-0.034366455078125,0.004620361328125,-0.479488525390625,0.015772705078125
200.0,15.0,-0.03902252064001092,0.00476553971069869,-0.48435927478507096,0.015890462950327512
1000.0,6.0,-0.048896674203563716,0.0044332879150917924,-0.48033217889443847,0.015617354127294817
1000.0,10.0,-0.06735823273119344,0.004338743460124434,-0.4986116573281957,0.015300215639140271
1000.0,15.0,-0.08986009634854211,0.004534793466522678,-0.5193841328631209,0.015474982704508639
1500.0,6.0,-0.06103515625,0.004367127710459184,-0.48828872369260207,0.015591368383290817
1500.0,10.0,-0.08886693424209025,0.004413019077411826,-0.5149936280309907,0.015675398324040458
1500.0,15.0,-0.12298220679873512,0.004486810593377976,-0.5481005471850199,0.015761360289558532
