==================================================================
Mass (g),Position (cm),Avg Strain Ax,Avg Strain Bx,Avg Strain Ay,Avg Strain By
200.0,7.0,-0.2620537685234951,0.004123997043918919,-0.4293590798717752,0.01578066214296683
200.0,10.0,-0.2645972045637045,0.00442537556879015,-0.4320870834448608,0.015857377961054603
200.0,15.0,-0.2692268308529184,0.004170315324767562,-0.43670275979790807,0.01585400794163223
500.0,7.0,-0.27025936983755505,0.0041635656146751104,-0.4327661455465308,0.016054665989812776
500.0,10.0,-0.27695301223296764,0.00415828431726328,-0.4394460770604792,0.01584658721853349
500.0,15.0,-0.2881040116920558,0.0040082996689920275,-0.4508037176110478,0.016067956737613895
1000.0,7.0,-0.2837746830309852,0.004086251986228814,-0.438047506041446,0.015893709861626058
1000.0,10.0,-0.2972398753760941,0.003925214971963895,-0.4515720091972101,0.015744933414250546
1000.0,15.0,-0.3196099613885681,0.004003229647806005,-0.47392459719616054,0.01598754600894919
1500.0,7.0,-0.29823371955940314,0.004074509079391892,-0.44330081424197637,0.016056095157657657
1500.0,10.0,-0.32013125914905805,0.004057408350305499,-0.46338735918406315,0.015808229776603868
1500.0,15.0,-0.35374857989915337,0.004107106729332669,-0.4967933442013197,0.015895889099850596
