==================================================================
Weight (g),Position (cm),Avg Strain Ax,Avg Strain Bx,Avg Strain Ay,Avg Strain By
10.0,10.0,-0.33829159206814235,0.004499647352430556,-2.0136489868164062,0.01567840576171875
10.0,12.0,-0.3878267349735383,0.004523492628528226,-2.0492812125913558,0.015824840914818547
50.0,10.0,-0.29653909809225515,0.004308609321611617,-1.9845296038582005,0.015774598697323464
50.0,12.0,-0.4034317842664709,0.004412112367530643,-2.0586304085003833,0.015782481925114913
