==================================================================
Mass (g),Position (cm),Avg Strain A1,Avg Strain B1,Avg Strain A2,Avg Strain B2
0.0,7.0,0.014166896328604295,0.45125125814800615,0.014826675134202454,0.35881257788535276
0.0,10.0,0.014129927938018365,0.4514121105320646,0.014764867122704384,0.35893734032508884
0.0,15.0,0.014088680264459306,0.4515433293495667,0.014816778624246421,0.3590578195648078
200.0,7.0,0.014050109748768762,0.44612233231707316,0.0148820429760788,0.357387177716053
200.0,10.0,0.01405352484717538,0.4434482001936657,0.014981403318665683,0.3547104936828099
200.0,15.0,0.014167098016697962,0.4389698208657457,0.014876337010461373,0.3501695624748525
500.0,7.0,0.01414501257334451,0.43790396780699914,0.014849500504243504,0.354674116264145
500.0,10.0,0.014265663603432158,0.43087494678986377,0.014892969376001602,0.34767085670405984
500.0,15.0,0.014218355702087942,0.4194924683697456,0.014895548862693585,0.33663454308974006
1000.0,7.0,0.01411913533197832,0.42402010730719286,0.014958851167287715,0.34959911977049457
1000.0,10.0,0.014166643078200484,0.4103384709012681,0.01492972995923913,0.33620817764945654
1000.0,15.0,0.014117054628808431,0.3874840839876356,0.014933743739565943,0.31355868993896074
1500.0,7.0,0.01402147019623412,0.409986769439088,0.014842287814768602,0.3445008099620009
1500.0,10.0,0.014014630488982873,0.38945375727730785,0.014883501886225982,0.3245336648913952
1500.0,15.0,0.014087181858432359,0.3548050624143053,0.014570330353062157,0.29041464629513253
