Stalk,Mean,Median,Std_Dev
S01,36.553,35.571,5.145
S02,52.864,51.891,5.562
S03,41.011,38.954,8.920
S04,32.680,32.993,4.174
S05,28.212,26.660,4.343
S06,36.397,36.259,4.877
S07,44.279,44.627,2.748
S08,4.112,4.169,0.407
S09,15.175,14.671,2.956
