Stalk,Mean,Median,Std_Dev
S01,4.754,4.189,0.973
S02,11.286,11.422,1.399
S03,5.784,5.942,0.575
S04,11.667,12.155,1.376
S05,18.226,18.134,1.683
S06,10.708,11.574,1.787
S07,14.081,14.520,1.968
S08,6.949,6.980,0.261
S09,13.608,13.344,1.282
S10,8.705,7.938,2.464
S11,9.097,9.354,0.893
S12,10.411,9.422,1.980
S13,8.176,7.972,1.312
