S01,S02,S03,S04,S05,S06,S07,S08,S09
17.172,16.433,14.469,19.62,21.431,17.986,19.411,19.43,18.234
18.915,19.144,17.433,19.514,18.797,17.356,18.56,18.44,16.526
18.53,17.036,17.054,18.839,19.556,17.703,17.892,19.14,17.334
18.288,16.437,16.652,18.558,19.333,18.557,18.917,18.597,17.434
15.847,17.499,17.688,18.84,18.73,18.645,18.024,19.259,18.092
NaN,18.332,19.613,18.609,18.414,18.496,16.882,18.619,16.613
NaN,NaN,17.92,NaN,18.945,NaN,NaN,NaN,18.675
NaN,NaN,17.413,NaN,NaN,NaN,NaN,NaN,NaN
