S01,S02,S03,S04,S05,S06,S07,S08,S09
7.2901,0.72492,14.582,6.2525,2.9308,2.6981,14.796,3.6411,9.6831
10.621,8.889,14.18,6.138,2.352,3.7903,15.073,6.3826,9.3201
10.282,11.889,11.065,5.2642,3.0651,4.5332,16.491,4.6358,10.964
10.98,12.459,14.914,6.0868,3.0103,5.1482,16.831,4.8723,9.5286
9.0122,12.676,14.716,4.613,4.3907,5.8076,17.343,3.8962,10.68
