Stalk,Test_06,Test_07,Test_08,Test_09,Test_10,Mean,Median,Std_Dev
S01,38.856270820665635,37.86499324440652,38.83817575370119,37.94331912083767,37.45167685765018,38.19088715945223,37.94331912083767,0.6276238102462548
S02,34.236827759853334,34.17004732385785,35.005234605499076,35.85058549565922,36.35729016227949,35.12399706942979,35.005234605499076,0.9695535851322713
S03,34.32426703566582,36.7883661292449,35.379095725960894,36.2247101259713,34.49132450509291,35.44155270438716,35.379095725960894,1.0703274871245683
S04,39.418924585796766,37.79223177542939,38.53308994047394,37.63547769296621,37.974917302947894,38.27092825952284,37.974917302947894,0.7258089529846199
S05,42.01707867685897,41.429611147529975,42.213554874416005,40.67973587637895,40.701938053942094,41.4083837258252,41.429611147529975,0.7157607668059026
S06,38.471693370310255,40.08850106193504,40.56036912423666,40.15682412769818,40.89424337090373,40.03432621101677,40.15682412769818,0.9321937455988878
S07,37.2536154786879,39.37115677738671,40.236100803634876,39.824387051284894,41.21933546970335,39.58091911613955,39.824387051284894,1.4691230620980344
S08,37.63224848900304,37.4141736482024,37.262107423574,38.30254536388196,37.07614446932781,37.537443878797845,37.4141736482024,0.4738594346158389
S09,40.82207673549549,39.95836299692393,41.6748773826395,41.42716694987605,40.628325641268695,40.90216194124074,40.82207673549549,0.6791310291695205
