Time,Force,Position
21.813804,0.002769546464751806,0.0
21.8162,0.0027695464647518064,0.0
21.818588,0.0027695464647518064,0.0
21.820968,0.0027695464647518064,0.0
21.823364,0.0027695464647518064,0.0
21.825752,0.0027695464647518064,0.0
21.828132,0.0027695464647518064,0.0
21.830532,0.0027695464647518064,0.0
21.832916,0.0027695464647518064,0.0
21.835312,0.0027695464647518064,0.0
21.837708,0.0027695464647518064,0.0
21.840096,0.0027695464647518064,0.0
21.842476,0.0027695464647518064,0.0
21.844872,0.002769546464751807,0.0
21.84726,0.002769546464751807,0.0
21.849644,0.002769546464751807,0.0
21.85204,0.002769546464751807,0.0
21.854428,0.002769546464751807,0.0
21.856808,0.0018503560122650636,0.0
21.859208,0.0,0.0
21.861596,0.0,0.0
21.863976,0.0,0.0
21.866372,0.0,0.0
21.86876,0.0,0.0
21.871152,0.0,0.0
21.873556,0.0,0.0
21.875944,0.0,0.0
21.878324,0.0,0.0
21.88072,0.00012779451956863275,0.0
21.883104,0.00012779451956863272,0.0
21.885488,0.00012779451956863272,0.0
21.887884,0.00012779451956863275,0.0
21.890268,0.00012779451956863275,0.0
21.892648,0.00012779451956863275,0.0
21.895044,0.00012779451956863275,0.0
21.897432,0.00012779451956863275,0.0
21.899812,0.00012779451956863275,0.0
21.902208,0.00012779451956863275,0.0
21.904592,0.00012779451956863275,0.0
21.906988,0.00012779451956863275,0.0
21.909392,0.00012779451956863275,0.0
21.911776,0.00012779451956863275,0.0
21.91416,0.00012779451956863275,0.0
21.916564,0.00012779451956863278,0.0
21.918948,0.00012779451956863278,0.0
21.921332,0.00012779451956863278,0.0
21.923728,0.00012779451956863278,0.0
21.926116,0.00012779451956863278,0.0
21.928492,0.0,0.0
21.930896,0.0,0.0
21.933284,0.0,0.0
21.935664,0.0,0.0
21.938068,0.0,0.0
21.940456,0.0,0.0
21.942836,0.0,0.0
21.94524,0.0,0.0
21.947624,0.0,0.0
21.950004,0.0,0.0
21.952404,0.0,0.0
21.954788,0.0,0.0
21.957168,0.0,0.0
21.959564,0.0,0.0
21.961952,0.0,0.0
21.964332,0.0,0.0
21.966728,0.0,0.0
21.969116,0.0,0.0
21.9715,0.0,0.0
21.973896,0.0,0.0
21.976284,0.0,0.0
21.978664,0.0,0.0
21.98106,0.0,0.0
21.983448,0.0,0.0
21.985828,0.0,0.0
21.988224,0.0,0.0
21.990612,0.0,0.0
21.993008,0.0,0.0
21.995404,0.0,0.0
21.997792,0.0,0.0
22.000176,0.0027815215720433835,0.0
22.002572,0.008356539823421728,0.0
22.00496,0.012720853261301332,0.0
22.00734,0.016014231512542405,0.0
22.00974,0.022380645696838862,0.0
22.012124,0.02809543357507742,0.0
22.014508,0.03502092626681472,0.0
22.016904,0.04301735414519054,0.0
22.019292,0.05315565239684343,0.0
22.021672,0.06022091471544093,0.0
22.024072,0.06421314110098306,0.0
22.026456,0.06820536748652518,0.0
22.02884,0.07112665868542878,0.0
22.031244,0.07819192100402629,0.0
22.033628,0.08805068000195874,0.0
22.036008,0.09190313676064066,0.0
22.038408,0.0958953631461828,0.0
22.040796,0.09788548878530808,0.0
22.043176,0.09894444886465503,0.0
22.045572,0.09894444886465502,0.0
22.04796,0.09616292729261165,0.0
22.050344,0.0905879090412333,0.0
22.05274,0.0862235956033537,0.0
22.055128,0.08293021735211263,0.0
22.057508,0.07656380316781616,0.0
22.059912,0.07084901528957763,0.0
22.0623,0.06392352259784032,0.0
22.06468,0.05592709471946448,0.0
22.067084,0.045788796467811595,0.0
22.069472,0.03872353414921409,0.0
22.071852,0.036349346350459756,0.0
22.074252,0.03504609373834395,0.0
22.07664,0.03267190593958962,0.0
22.07902,0.02560664362099212,0.0
22.081416,0.015747884623059653,0.0
