==================================================================
Mass (g),Position (cm),Avg Strain 1,Avg Strain 11,Avg Strain 2,Avg Strain 3,Std Strain 1,Std Strain 11,Std Strain 2,Std Strain 3
100.0,13.0,0.036294359240090265,0.036294359240090265,0.148388250282084,-0.08719020585998823,0.00061295951188479,0.00061295951188479,0.0006093602517832381,0.0005894549524546272
100.0,15.0,0.03590440615040722,0.03590440615040722,0.14795146650362961,-0.08765374634826487,0.0005961689361184491,0.0005961689361184491,0.0006189152618060529,0.0005935474010077168
100.0,20.0,0.03492423688161645,0.03492423688161645,0.14684919425641288,-0.0887793127799267,0.0006198786095694529,0.0006198786095694529,0.0006580130337397334,0.0006252363545058175
100.0,25.0,0.033905432612885464,0.033905432612885464,0.14573241470493759,-0.08982833436582233,0.0006029130957281216,0.0006029130957281216,0.0006281699512085043,0.0006197815486984763
100.0,30.0,0.03293867156547147,0.03293867156547147,0.14469297865491285,-0.0909423828125,0.000620568089302791,0.000620568089302791,0.0005893565077918369,0.0005861744348732916
100.0,35.0,0.031898451147612576,0.031898451147612576,0.14360416009559396,-0.0919962817837733,0.0005825415331123333,0.0005825415331123333,0.0006631026205265874,0.0006225042448886852
100.0,40.0,0.030850243022423663,0.030850243022423663,0.1425250104365458,-0.09309585221851145,0.0005968877894574153,0.0005968877894574153,0.000633506262428718,0.0006132461891515018
100.0,45.0,0.029873557947312588,0.029873557947312588,0.14136329230021216,-0.09426003635519802,0.0005367893965951546,0.0005367893965951546,0.0006228512831579595,0.0005993848886621269
1000.0,13.0,0.016052838668082523,0.016052838668082523,0.13436115069131416,-0.0941651406466713,0.000612333182008946,0.000612333182008946,0.0006458899347622067,0.0006037152133298374
1000.0,15.0,0.012257650518341308,0.012257650518341308,0.13022780228269537,-0.0981770443954346,0.0005817877833118278,0.0005817877833118278,0.0006371940562320812,0.0005903106163096538
1000.0,20.0,0.0028444487473060346,0.0028444487473060346,0.11977623248922414,-0.10867835735452586,0.0006061742123762639,0.0006061742123762639,0.0006541398785998137,0.0005986677275128009
1000.0,25.0,-0.0066845963310390765,-0.0066845963310390765,0.10931580782360124,-0.11923212352908526,0.0006278292438597323,0.0006278292438597323,0.0006216436944289413,0.000588870061833818
1000.0,30.0,-0.016036116896463913,-0.016036116896463913,0.09905316638169383,-0.1296830094041036,0.0006066848796691745,0.0006066848796691745,0.0006480536687612911,0.000625478706783523
1000.0,35.0,-0.025640587738473768,-0.025640587738473768,0.08850000621025438,-0.14037115585254373,0.0005940965279600395,0.0005940965279600395,0.0006507396599731962,0.0005900443840229823
1000.0,40.0,-0.03516838001527997,-0.03516838001527997,0.07810285790861593,-0.150861770196668,0.0006419705265005297,0.0006419705265005297,0.0006532106728682919,0.0006386995095697882
1000.0,45.0,-0.04465787143315561,-0.04465787143315561,0.06759764082247235,-0.1613786887218602,0.0006205116507894158,0.0006205116507894158,0.0006617320870292973,0.0006327329094179604
1500.0,13.0,0.004904456172429078,0.004904456172429078,0.12617655003324468,-0.09801380346852837,0.0006202760841785592,0.0006202760841785592,0.0006402290497999663,0.0005910242984254586
1500.0,15.0,-0.000888615003639767,-0.000888615003639767,0.11977819357061148,-0.10442597298772878,0.0006244480189575519,0.0006244480189575519,0.00061442303481095,0.0006077903910288426
1500.0,20.0,-0.015023798512031516,-0.015023798512031516,0.10435244090715502,-0.1199595566705707,0.0006496327916012473,0.0006496327916012473,0.0006405423511724339,0.0006321749963535871
1500.0,25.0,-0.02940426180991921,-0.02940426180991921,0.08858973504824955,-0.13590896579050718,0.0006036068004891719,0.0006036068004891719,0.0006445779819547069,0.0006067971293017428
