==================================================================
Mass (g),Position (cm),Avg Strain A1,Avg Strain B1,Avg Strain A2,Avg Strain B2
0.0,6.0,0.014337294594535614,0.4652694616903806,0.01517183953823324,0.363391897531861
0.0,10.0,0.014351863989093959,0.4653033570155201,0.015297294463087249,0.36345657246224833
0.0,15.0,0.014474780988493724,0.46529985371992677,0.015154084401150628,0.36347840121600417
500.0,6.0,0.014602154917061612,0.45317494662075436,0.015148867928021326,0.3608884404620853
500.0,10.0,0.01436705791509918,0.4442015098644836,0.015325585403129276,0.351742850119699
500.0,15.0,0.014374584746151026,0.4321647039956012,0.015275792991660557,0.3399336023414589
1000.0,6.0,0.014442661830357143,0.44175589425223216,0.015252685546875,0.3589529854910714
1000.0,10.0,0.014446954042213397,0.4233116866475311,0.015241928522099447,0.3408231787918681
1000.0,15.0,0.014326585446550546,0.39962018122438525,0.015318823642418032,0.31752872988174524
1500.0,6.0,0.014435078674580628,0.42975751868574136,0.01508836622362013,0.35602916370738635
1500.0,10.0,0.01441028421829246,0.40228110630376096,0.015184170679676062,0.3289616195209553
1500.0,15.0,0.014492034912109375,0.3658580780029297,0.015081405639648438,0.293423334757487
2000.0,6.0,0.01440545003584683,0.4178461854757085,0.015151709841008772,0.3535418182249494
2000.0,10.0,0.01453788913026148,0.38099405716876594,0.015268909687898596,0.3166183160275829
2000.0,15.0,0.014287055054465389,0.3332911846222188,0.015198432912932634,0.2699089286059178
