Stalk,Mean,Median,Std_Dev
S01,12.331,12.578,1.311
S02,11.248,11.699,1.392
S03,12.689,13.061,0.882
S04,20.087,20.214,0.849
S05,19.077,19.136,1.586
S06,23.400,23.365,1.909
S07,13.853,13.738,0.677
S08,11.448,11.341,1.004
S09,18.081,18.195,0.954
S10,25.379,25.362,0.837
S11,20.442,20.428,1.258
S12,14.821,15.073,1.023
