==================================================================
Mass (g),Position (cm),Avg Strain 1,Avg Strain 11,Avg Strain 2,Avg Strain 3
0.0,15.0,-0.041544596354166664,-0.041544596354166664,0.08438163891173246,-0.07727693256578948
0.0,30.0,-0.04144491316217472,-0.04144491316217472,0.08445541211663568,-0.07727867608619889
0.0,45.0,-0.04148524106460245,-0.04148524106460245,0.08448609518348624,-0.07723280413799694
200.0,15.0,-0.046729968285148756,-0.046729968285148756,0.08035202172804702,-0.07970652516194818
200.0,30.0,-0.05261161110617898,-0.05261161110617898,0.07387958873401988,-0.08618649569424716
200.0,45.0,-0.05851290119228078,-0.05851290119228078,0.06735275040811567,-0.09273585988514459
1500.0,15.0,-0.08108577372864907,-0.08108577372864907,0.05316787624951475,-0.09538922991071429
1500.0,30.0,-0.12443529394028731,-0.12443529394028731,0.0051571042828044596,-0.14369329907268438
1500.0,45.0,-0.16772959626165632,-0.16772959626165632,-0.04283193584869005,-0.1918628753607904
