==================================================================
Mass (g),Position (cm),Avg Strain 1,Avg Strain 11,Avg Strain 2,Avg Strain 3,Std Strain 1,Std Strain 11,Std Strain 2,Std Strain 3
100.0,13.0,-0.003382042993473101,-0.003382042993473101,0.13087341051061446,-0.09043955098727584,0.0006165636814120915,0.0006165636814120915,0.0006329124921768697,0.0006166228413003186
100.0,15.0,-0.0038511890215060544,-0.0038511890215060544,0.130380578527056,-0.09090050197874622,0.0006173617751724463,0.0006173617751724463,0.0006396782389869144,0.0006190154517703783
100.0,25.0,-0.005829858606090523,-0.005829858606090523,0.12813155590256683,-0.09315537073777339,0.0006157251382614108,0.0006157251382614108,0.0006581849793841049,0.0006080235969645616
100.0,35.0,-0.007838199013157895,-0.007838199013157895,0.1258419721554487,-0.09529474132295884,0.0006142623812368939,0.0006142623812368939,0.0006202089978640553,0.0005933538043932685
100.0,45.0,-0.00981065592285643,-0.00981065592285643,0.1236177940787014,-0.09753089364718345,0.0005916700369555272,0.0005916700369555272,0.0006407781506759635,0.0005988922178340379
1000.0,13.0,-0.02349790462777634,-0.02349790462777634,0.1159081577269499,-0.09753203589068957,0.0005930826706023207,0.0005930826706023207,0.0006435194113129255,0.0006106377735592489
1000.0,15.0,-0.02721846103668213,-0.02721846103668213,0.11166572570800781,-0.10173201560974121,0.00062705417762153,0.00062705417762153,0.0006422272551472904,0.0005796747063382264
1000.0,25.0,-0.04623176253291297,-0.04623176253291297,0.09080095988948171,-0.12274088722110588,0.0006126686045239306,0.0006126686045239306,0.0006337791306250725,0.0006224848208351184
1000.0,35.0,-0.06525497498601505,-0.06525497498601505,0.06979412330273596,-0.14386120416751425,0.000563848443103145,0.000563848443103145,0.0006257638713799927,0.0006098557467919122
1000.0,45.0,-0.08421567738003943,-0.08421567738003943,0.0488120771937993,-0.1648430652936021,0.0006216135678944868,0.0006216135678944868,0.0006324740637096031,0.0006172402490438538
20.0,13.0,-0.0015622470045336787,-0.0015622470045336787,0.13256409007650582,-0.08968452097838407,0.000592808416307327,0.000592808416307327,0.0006465335795078605,0.0006450003581123179
20.0,15.0,-0.0016512836809679334,-0.0016512836809679334,0.1324187435050475,-0.0898137398400386,0.0006085202501985449,0.0006085202501985449,0.0006353152650963271,0.0006182181918814947
20.0,25.0,-0.002118630559711643,-0.002118630559711643,0.1319893555750136,-0.09030878608711915,0.0005982726892441194,0.0005982726892441194,0.0006445708132926986,0.0006079115983618445
20.0,35.0,-0.0025894099550697425,-0.0025894099550697425,0.13132250871781115,-0.09081402561695279,0.0006243359997325151,0.0006243359997325151,0.0006553523797000782,0.0005913189596534011
20.0,45.0,-0.0030148326290035587,-0.0030148326290035587,0.1307933440836299,-0.09135453302240881,0.0005965900692217678,0.0005965900692217678,0.0006554613712673788,0.0006022812126120077
50.0,13.0,-0.0022228435507899115,-0.0022228435507899115,0.131964503793653,-0.08998963891006098,0.0006026347888647803,0.0006026347888647803,0.0006522149203290081,0.0006355924202258256
50.0,15.0,-0.0023985085446208386,-0.0023985085446208386,0.13172380139295622,-0.09020710109047472,0.0006185723840007504,0.0006185723840007504,0.0006291132298165348,0.0006046892140505942
50.0,25.0,-0.0034318651471819195,-0.0034318651471819195,0.1305178233555385,-0.09137357984270368,0.0005939512992869271,0.0005939512992869271,0.0006442136671549738,0.0006006707623345696
50.0,35.0,-0.004392213459256329,-0.004392213459256329,0.12930181962025317,-0.09252169967200685,0.000622939451202724,0.000622939451202724,0.0006448292132758521,0.0006166712406238159
50.0,45.0,-0.005415511191952926,-0.005415511191952926,0.1281101527711514,-0.09363150171954517,0.0005748725449001875,0.0005748725449001875,0.0006558114784682933,0.0006390057501082442
500.0,13.0,-0.012374243764578033,-0.012374243764578033,0.12409601704967133,-0.09352459960109202,0.0006003061900161353,0.0006003061900161353,0.0006487683435465416,0.0006201729003437396
500.0,15.0,-0.014333274147727273,-0.014333274147727273,0.12193159623579546,-0.09578524502840909,0.0006072100031890083,0.0006072100031890083,0.0006451961718816789,0.0006335713476347818
500.0,25.0,-0.02393153615140526,-0.02393153615140526,0.11125220456992294,-0.10630575614092248,0.0006135586711852816,0.0006135586711852816,0.0006361499426837883,0.0006250095537508694
500.0,35.0,-0.03355807285945738,-0.03355807285945738,0.10076593221386204,-0.11692094048632469,0.0006341856204145923,0.0006341856204145923,0.0006681537057107651,0.0005834639664217902
500.0,45.0,-0.04322810893982096,-0.04322810893982096,0.09018848260665341,-0.12761366462201593,0.0006022944309411514,0.0006022944309411514,0.0006425403938332589,0.0006227332658989836
