=====
Mass (g),Position (cm),Avg Strain 1 (No Load),Avg Strain 11 (No Load),Avg Strain 2 (No Load),Avg Strain 3 (No Load),Avg Strain 1 (Load),Avg Strain 11 (Load),Avg Strain 2 (Load),Avg Strain 3 (Load),Std Strain 1 (No Load),Std Strain 11 (No Load),Std Strain 2 (No Load),Std Strain 3 (No Load),Std Strain 1 (Load),Std Strain 11 (Load),Std Strain 2 (Load),Std Strain 3 (Load)
500.0,15.0,-0.0397064208984375,-0.0397064208984375,0.0866058349609375,-0.0757965087890625,-0.052862548828125,-0.052862548828125,0.076220703125,-0.0818450927734375,0.000652241396155292,0.000652241396155292,0.0006584940983146475,0.0006632291950876686,0.0006277726186082712,0.0006277726186082712,0.0006757008058153343,0.0006418783325398527
500.0,40.0,-0.0399566650390625,-0.0399566650390625,0.0863525390625,-0.0761199951171875,-0.0766204833984375,-0.0766204833984375,0.049664306640625,-0.1082611083984375,0.0006765754641200447,0.0006765754641200447,0.0006486977663860557,0.0006053798364142441,0.0006570215571501596,0.0006570215571501596,0.0006468286893917566,0.0005301194081433169
1000.0,15.0,-0.0396942138671875,-0.0396942138671875,0.0866729736328125,-0.07587890625,-0.065679931640625,-0.065679931640625,0.0659576416015625,-0.0876861572265625,0.0005897951295531588,0.0005897951295531588,0.0006057489423620584,0.0006217202919065841,0.0005751247913283111,0.0005751247913283111,0.0005951397217057627,0.0005926306236714765
1000.0,40.0,-0.0398284912109375,-0.0398284912109375,0.086444091796875,-0.0760498046875,-0.113201904296875,-0.113201904296875,0.0130035400390625,-0.1404876708984375,0.0006372184313927231,0.0006372184313927231,0.0006582465454631001,0.0006313525654778199,0.0006485541824700036,0.0006485541824700036,0.0006109539873674102,0.0005931332924065188
