Stalk,Mean,Median,Std_Dev
S01,32.777,34.688,3.720
S02,31.057,30.191,2.546
S03,36.624,48.298,22.008
S04,31.248,31.001,0.992
S05,10.924,10.606,0.793
S06,33.361,35.526,4.091
S07,39.491,38.815,2.816
