Date,Offset X,Offset Y,Offset Z,Gain X,Gain Y,Gain Z
08_04_2025,843.8460888415098,879.5804548696063,417.39336485914583,16268.972701219216,16400.856648583485,16404.233882163033
08_04_2025,0.0930,0.0700,-0.008,-6.050e-05,-5.950e-05,6.0069440272955555e-05
