Stalk,Mean,Median,Std_Dev
S01,3.889,3.886,0.386
S02,11.007,11.647,2.210
S03,1.313,1.395,0.197
S04,0.173,0.161,0.043
S05,5.811,5.622,0.980
S06,10.903,11.215,1.505
S07,4.923,4.496,0.776
S08,14.180,13.817,1.899
