Stalk,Mean,Median,Std_Dev
S01,43.885,47.447,10.627
S02,34.295,34.460,4.442
S03,35.337,35.939,7.373
S04,21.377,21.066,3.964
S05,41.828,43.722,4.220
S06,35.327,35.347,4.175
S07,34.373,34.411,1.260
S08,32.752,33.316,2.614
S09,7.627,7.625,0.265
S10,36.836,37.426,1.838
