Stalk,Mean,Median,Std_Dev
S01,33.304,32.897,7.613
S02,22.822,20.909,4.694
S03,25.807,25.383,2.675
S04,20.981,21.198,1.378
S05,23.292,20.793,3.580
S06,10.645,10.685,1.538
S07,20.666,20.524,4.489
S08,13.766,14.113,2.052
S09,17.455,17.377,1.088
