Stalk,Mean,Median,Std_Dev
S01,10.670,10.630,0.672
S02,4.148,2.293,3.088
S03,13.220,14.513,2.199
S04,1.692,1.730,0.213
S05,8.120,8.352,0.814
S06,7.908,8.337,1.030
S07,11.728,11.487,0.538
S08,1.541,1.577,0.075
S09,0.298,0.269,0.090
S10,12.626,12.705,0.312
S11,14.459,14.139,0.718
S12,10.695,10.581,0.644
