pre_test_note_1,,,,,
=====
Time,Accel X,Accel Y,Accel Z,Orientation
0.38972000000000007,-15536.0,1500.0,1196.0,X-axis up
0.3940480000000002,-15512.0,1484.0,1152.0,X-axis up
0.3983760000000003,-15584.0,1480.0,1356.0,X-axis up
0.40270399999999995,-15584.0,1516.0,1064.0,X-axis up
0.4070360000000002,-15492.0,1556.0,1200.0,X-axis up
0.4113640000000003,-15456.0,1436.0,1252.0,X-axis up
0.4156880000000003,-15536.0,1536.0,1096.0,X-axis up
0.4200240000000002,-15540.0,1388.0,1228.0,X-axis up
0.42435599999999996,-15524.0,1464.0,1104.0,X-axis up
0.4286920000000003,-15524.0,1400.0,1124.0,X-axis up
0.43301999999999996,-15480.0,1492.0,1224.0,X-axis up
0.4373400000000003,-15524.0,1520.0,1248.0,X-axis up
0.4416880000000001,-15672.0,1532.0,1096.0,X-axis up
0.4460320000000002,-15428.0,1508.0,1120.0,X-axis up
0.450364,-15564.0,1420.0,1216.0,X-axis up
0.454688,-15652.0,1468.0,1200.0,X-axis up
0.4590200000000002,-15472.0,1472.0,1164.0,X-axis up
0.4633560000000001,-15516.0,1420.0,1032.0,X-axis up
0.4676840000000002,-15516.0,1552.0,1076.0,X-axis up
0.4720040000000001,-15572.0,1488.0,1224.0,X-axis up
0.4763360000000003,-15504.0,1444.0,1156.0,X-axis up
0.480664,-15456.0,1476.0,1200.0,X-axis up
0.4849960000000002,-15548.0,1600.0,1232.0,X-axis up
0.4893240000000003,-15580.0,1524.0,1224.0,X-axis up
0.4936400000000001,-15588.0,1588.0,1124.0,X-axis up
0.497976,-15488.0,1492.0,1204.0,X-axis up
0.502316,-15564.0,1376.0,1220.0,X-axis up
0.5066520000000003,-15556.0,1376.0,1196.0,X-axis up
0.5109720000000002,-15572.0,1396.0,1028.0,X-axis up
0.515304,-15528.0,1444.0,1196.0,X-axis up
0.5196360000000002,-15632.0,1508.0,1144.0,X-axis up
0.5239720000000001,-15604.0,1444.0,1124.0,X-axis up
0.5283000000000002,-15540.0,1500.0,1068.0,X-axis up
0.532632,-15672.0,1444.0,1252.0,X-axis up
0.5369760000000001,-15592.0,1428.0,1140.0,X-axis up
0.5413040000000002,-15536.0,1416.0,1060.0,X-axis up
0.5456320000000003,-15544.0,1408.0,1212.0,X-axis up
0.5499560000000003,-15600.0,1512.0,1100.0,X-axis up
0.5542920000000002,-15628.0,1468.0,1220.0,X-axis up
0.5586280000000001,-15508.0,1472.0,1168.0,X-axis up
0.5629560000000002,-15572.0,1392.0,1260.0,X-axis up
0.5672800000000002,-15436.0,1340.0,1112.0,X-axis up
0.571612,-15532.0,1436.0,1200.0,X-axis up
0.5759480000000003,-15556.0,1604.0,1148.0,X-axis up
0.5802840000000002,-15480.0,1596.0,1176.0,X-axis up
0.5846119999999999,-15552.0,1484.0,1088.0,X-axis up
0.58894,-15540.0,1524.0,1152.0,X-axis up
0.5932759999999999,-15600.0,1480.0,1252.0,X-axis up
0.5976080000000001,-15484.0,1460.0,1168.0,X-axis up
