Stalk,Mean,Median,Std_Dev
S01,13.612,13.423,0.940
S02,35.836,34.575,4.608
S03,25.091,25.887,5.032
S04,38.243,40.959,6.459
S05,33.237,33.853,3.781
S06,44.855,46.575,7.309
