Time,Force_12,Force_13,Position_12,Position_13
0.0,0.27457745273439954,-0.038710604592117955,0.0,0.0
0.004016,0.2687622058700189,-0.036639779681253294,0.0,0.0
0.0080119999999999,0.26294695900563836,-0.034568954770388634,0.0,0.0
0.0120359999999997,0.25713171214125774,-0.03249812985952397,0.0,0.0
0.0160399999999998,0.2513164652768771,-0.030427304948659317,0.0,0.0
0.0200439999999999,0.24550121841249653,-0.028356480037794656,0.0,0.0
0.0240479999999996,0.2396859715481159,-0.02628565512693,0.0,0.0
0.0280639999999996,0.23387072468373532,-0.02421483021606534,0.0,0.0
0.0320679999999997,0.2280554778193547,-0.02214400530520068,0.0,0.0
0.0360839999999997,0.2222402309549741,-0.020073180394336018,0.0,0.0
0.0400999999999998,0.2164249840905935,-0.018002355483471358,0.0,0.0
0.0441039999999999,0.2106097372262129,-0.0159315305726067,0.0,0.0
0.0481199999999999,0.20479449036183228,-0.01386070566174204,0.0,0.0
0.0521359999999999,0.1989792434974517,-0.01178988075087738,0.0,0.0
0.0561319999999998,0.1931639966330711,-0.009719055840012723,0.0,0.0
0.0601559999999996,0.18734874976869048,-0.007648230929148063,0.0,0.0
0.0641519999999999,0.18153350290430986,-0.005577406018283403,0.0,0.0
0.0681599999999997,0.17571825603992927,-0.0035065811074187422,0.0,0.0
0.0721639999999999,0.16990300917554868,-0.0014357561965540819,0.0,0.0
0.0761799999999999,0.16408776231116806,0.0006350687143105785,0.0,0.0
0.0802079999999998,0.15089152307123105,0.0026318944004087123,0.0,0.0
0.0842079999999998,0.1404895679066003,0.004026848659079597,0.0,0.0
0.0882239999999998,0.13032415343361695,0.004941781996495063,0.0,0.0
0.0922279999999999,0.11999724817029257,0.006265764226584218,0.0,0.0
0.096244,0.11134171436576706,0.007590998225161524,0.0,0.0
0.10026,0.10301902008507421,0.009133628958159383,0.0,0.0
0.1042599999999995,0.0931000062642534,0.010387891768590844,0.0,0.0
0.1082799999999997,0.08396000714948,0.012291840572959232,0.0,0.0
0.1122799999999997,0.07599705186915102,0.013956404380726295,0.0,0.0
0.1162879999999999,0.06876496087009508,0.01603001741734142,0.0,0.0
0.1202919999999996,0.0641447434639528,0.01856166277685673,0.0,0.0
0.1242919999999996,0.059809215493095674,0.02128621340781021,0.0,0.0
0.1282959999999997,0.05759123382702505,0.02401201463064198,0.0,0.0
0.1323119999999997,0.056646594491356506,0.027411993478480817,0.0,0.0
0.136336,0.05643282111809795,0.031004877261583644,0.0,0.0
0.1403399999999997,0.055563231683735725,0.03455002921486059,0.0,0.0
0.1443519999999996,0.054085976949272224,0.038288086271488476,0.0,0.0
0.1483559999999997,0.05239908268083028,0.04176226602809688,0.0,0.0
0.1523599999999998,0.05292603590295153,0.0463674054769084,0.0,0.0
0.1563759999999998,0.05378582629531328,0.05118994048353071,0.0,0.0010617939360647876
0.1603799999999999,0.05389560549313358,0.05556856453443096,0.0,0.0021890804106624888
0.1643879999999997,0.05475328848824333,0.05987371402829621,0.0,0.0032173176685861083
0.168412,0.05417614037997449,0.06412988093237025,0.0,0.004044195960297682
0.172412,0.055480001247119076,0.06843503076240967,0.0,0.00507271714446041
0.1764319999999997,0.05445667459436139,0.07269119699413518,0.0,0.006001166203898663
0.1804479999999997,0.054325701332080395,0.07694736272159926,0.0,0.006929761199926427
0.1844639999999997,0.05414657932616215,0.08053060225637027,0.0,0.007781665540119951
0.1884679999999998,0.05495611055158809,0.08416282404475826,0.0,0.008633726639465888
0.1924839999999998,0.055319464577433995,0.08844348123520504,0.0,0.009378734999633969
0.1964839999999998,0.05568281927573513,0.09272413876182599,0.0,0.010123905544875092
0.200488,0.0551056708312394,0.09611572496173441,0.0,0.010123905544875092
0.2045039999999995,0.05577075515329734,0.09880989350596675,0.0,0.010123905544875092
0.2085079999999997,0.05509730888529879,0.10128791742044095,0.0,0.010123905544875092
0.2125159999999999,0.05298902949655719,0.10350081260258176,0.0,0.010123905544875092
0.2165159999999999,0.04919234115036442,0.10641112594465969,0.0,0.010123905544875092
0.2205399999999997,0.04821716626729077,0.11025949421176426,0.0,0.0108325967299214
0.2245439999999998,0.046397786737378065,0.11413235377376438,0.0,0.01145591447832675
0.2285439999999998,0.04641126609433109,0.11802970479874718,0.0,0.01145591447832675
0.2325479999999999,0.046074869437480806,0.12111145871787798,0.0,0.01145591447832675
0.2365479999999999,0.047921209026209215,0.12330414080603484,0.0,0.01145591447832675
0.240564,0.05209473579861239,0.1266265319945165,0.0,0.01145591447832675
0.2445599999999999,0.05617196306637581,0.12925150519114806,0.0,0.01145591447832675
0.2485839999999997,0.05989931196674455,0.13257389604345554,0.0,0.01145591447832675
0.2525879999999998,0.06357851212347564,0.13479107043503047,0.0,0.01145591447832675
0.2565879999999998,0.06502682594608138,0.13722438979253823,0.0,0.01145591447832675
0.2605919999999999,0.06682501511003519,0.1387441448475664,0.0,0.01145591447832675
0.2646079999999999,0.07189089392800584,0.14120195432335952,0.0,0.011455914478326753
0.2686119999999996,0.0769086223212019,0.14233840136396522,0.0,0.011455914478326753
0.2726119999999996,0.08014164124362426,0.14412328347045572,0.0,0.011455914478326753
0.2766279999999996,0.08342281059082185,0.14593265720801582,0.0,0.011455914478326753
0.2806479999999998,0.08204960859671628,0.1465633399278085,0.0,0.011455914478326753
0.2846639999999998,0.0791934237295479,0.146255967218313,0.0,0.011455914478326753
0.2886799999999998,0.0736601753286743,0.14616473947475014,0.0,0.011455914478326753
0.2926799999999998,0.06753630013503406,0.14491931200831518,0.0,0.011455914478326753
