==================================================================
Mass (g),Position (cm),Avg Strain 1,Avg Strain 11,Avg Strain 2,Avg Strain 3
0.0,15.0,-0.00016570253879604366,-0.00016570253879604366,0.13425153079169508,-0.08914380249189972
0.0,30.0,-0.00043905398501362396,-0.00043905398501362396,0.13453927936605928,-0.08928262570248638
0.0,45.0,-0.0005174356910893345,-0.0005174356910893345,0.1343240798769371,-0.0892966034853578
100.0,15.0,-0.0035499779814718163,-0.0035499779814718163,0.13174929051409187,-0.09053208384981733
100.0,30.0,-0.006575686737191524,-0.006575686737191524,0.12891843083590396,-0.0939057313321486
100.0,45.0,-0.009376742362156062,-0.009376742362156062,0.1259150550166595,-0.09722275869249786
1000.0,15.0,-0.02719485402504162,-0.02719485402504162,0.1135091326477525,-0.10146671341738346
1000.0,30.0,-0.05583549776679015,-0.05583549776679015,0.08198375227802342,-0.13303213320088433
1000.0,45.0,-0.08454033879950495,-0.08454033879950495,0.050077834931930694,-0.1645797880569307
2000.0,15.0,-0.053676960439334516,-0.053676960439334516,0.09228602112063512,-0.11335859414536943
2000.0,30.0,-0.11052326857016713,-0.11052326857016713,0.029547156998406272,-0.17644922951843556
2000.0,45.0,-0.167354613311531,-0.167354613311531,-0.033443007358284885,-0.2393562257751938
